Well Row,,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,F,F,F,F,G,G,G,G,H,H,H,H
Well Col,,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Content,Time [min],Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B
Group,,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D
Blank corrected based on Raw Data (400/520 1),69.75,-4587,-8889,4604,-17942,-15504,37853,-7901,-18215,-21895,-14121,-27859,1540,9800,5305,4065,4083,63467,5217,10479,11263,11066,-6814,2993,18054,12472,6610,14025,33277,-17729,-12798,-9825,-12766,-9132,7778,16318,16642,17744,16667,60559,-1497,2678,4646,4003,-1928,-6034,-4165,-2119,,-2496,-1102,-33,,-8311,987,-616,,-6258,1372,1905,
Blank corrected based on Raw Data (400/520 1),72,-4668,-8372,4440,-18281,-14529,37131,-7632,-17951,-22052,-13220,-28177,1689,10173,4781,4222,3988,63485,5304,10723,11675,11159,-6649,2424,17109,12472,6153,14278,32602,-18532,-13999,-9820,-13372,-9701,8098,16179,15763,18106,16766,59641,-1695,2677,4476,3610,-1783,-5715,-4300,-2514,,-2122,-717,-178,,-8442,-372,-941,,-6142,1403,1909,
Blank corrected based on Raw Data (400/520 1),74.25,-3575,-6878,5091,-17528,-14569,37611,-6389,-18111,-21905,-13251,-27066,1569,9723,5031,4442,3698,63216,5165,10546,11138,11366,-6613,1854,17187,11864,5867,13428,31729,-18661,-14386,-10343,-13481,-10250,8249,16548,16864,17602,16645,60161,-1413,2967,5168,3917,-762,-4904,-3541,-1062,,-1281,13,-866,,-9365,-937,-1455,,-5598,1491,1647,
Blank corrected based on Raw Data (400/520 1),76.5,-3946,-8113,5603,-17743,-14745,36448,-6044,-18074,-21280,-12554,-27588,1317,9938,4708,4060,4061,64244,5045,10921,11372,10732,-7461,1971,16690,11648,6304,12891,31594,-18340,-14254,-10793,-13262,-10224,7869,15845,16218,17679,16293,59880,-1299,3018,4913,3669,-1189,-4120,-3806,-1564,,-2058,-835,-421,,-9399,128,-1552,,-5813,1269,1810,
Blank corrected based on Raw Data (400/520 1),78.75,-4998,-8797,4458,-17972,-15369,35912,-6488,-18219,-22140,-13879,-27925,1674,9563,4816,4364,3609,64254,5255,10529,10848,10515,-6596,2340,17812,12042,5684,13532,32094,-18053,-14503,-9959,-13706,-9745,7928,16117,16656,18131,17323,59906,-1655,2453,5087,4196,-1180,-4772,-4150,-1857,,-1738,-1074,207,,-8973,517,-1076,,-5137,1028,1932,
Blank corrected based on Raw Data (400/520 1),81,-4030,-8618,4854,-18006,-15420,34863,-6831,-18152,-22757,-13384,-27687,1263,9938,5463,3376,3298,63701,5235,10837,11304,10865,-6832,2641,17279,12374,6072,13591,31884,-18560,-13850,-10032,-13655,-9485,7442,14888,15069,16024,16005,59146,-1747,1716,3528,3025,-834,-4804,-4329,-2289,,-2000,-641,-91,,-9073,282,-520,,-5964,379,393,
Blank corrected based on Raw Data (400/520 1),83.25,-4590,-9290,5764,-18860,-15924,34264,-6398,-18512,-22543,-13220,-28432,1805,9646,5251,3759,3599,63587,5918,9562,11125,11094,-7127,1878,17103,12162,6228,13775,32634,-18114,-13908,-10625,-13538,-9675,8389,15753,16067,17803,16760,60665,-778,2501,5087,3638,-86,-3842,-4076,-2057,,-1827,-839,-649,,-8450,742,-557,,-4642,1598,1811,
Blank corrected based on Raw Data (400/520 1),85.5,-4219,-8820,5580,-17832,-15174,33752,-5289,-17619,-22271,-12385,-27331,942,9519,5263,3361,3028,63478,5342,10438,11070,10392,-6602,2471,18616,11870,6771,14129,31585,-18216,-13925,-10217,-13453,-9199,7338,15686,16185,17079,16371,60072,-1460,1805,4252,2933,-742,-2793,-3440,-816,,-1383,-1143,-368,,-8137,-5,-454,,-4627,389,1094,
Blank corrected based on Raw Data (400/520 1),87.75,-4532,-9540,6243,-18883,-15948,32642,-5067,-18038,-23653,-12840,-28001,954,8666,5601,3811,3114,62696,5246,9671,11126,10670,-7425,1882,17312,12417,6203,13798,31023,-18155,-13158,-9422,-13940,-9597,8548,15868,16033,17533,16362,60171,-906,2397,4007,3349,157,-2539,-3988,-1388,,-2341,-798,-350,,-8435,214,-180,,-4212,1720,2052,
Blank corrected based on Raw Data (400/520 1),90,-3680,-8478,6416,-18031,-15420,32764,-4272,-17942,-22515,-12653,-27166,2017,9652,5047,3473,3435,63748,5631,10477,10987,10631,-6500,2249,16453,12544,5912,13685,31074,-18405,-14127,-10637,-12951,-9600,7313,15295,15264,17771,15884,59451,-1748,2576,4835,4168,-426,-1948,-2885,-1047,,-1154,-658,265,,-9005,700,-1637,,-4237,966,1579,
Blank corrected based on Raw Data (400/520 1),92.25,-4854,-10533,5736,-18681,-16138,31900,-4542,-18452,-23237,-13337,-28472,904,8472,5218,3059,3445,62847,6432,9542,9733,10066,-7024,3659,18084,13405,6328,14173,31619,-17583,-13510,-9607,-12616,-8384,8154,15435,15921,17560,15811,59731,-995,2819,4471,3655,252,-2085,-3528,-920,,-2196,-848,-535,,-7662,1911,-525,,-3943,797,1053,
Blank corrected based on Raw Data (400/520 1),94.5,-5132,-11113,5323,-19287,-16545,31305,-4468,-18586,-23382,-13695,-28624,935,9504,5386,3192,3168,63271,5248,10254,9994,10546,-6613,3165,18682,12902,7319,14381,32509,-17207,-12833,-8670,-12316,-7563,8010,15157,16100,17450,16659,59781,-152,2555,5145,4513,373,-2005,-3449,-1950,,-2208,-1018,-843,,-6877,2216,417,,-3507,1892,1143,
Blank corrected based on Raw Data (400/520 1),96.75,-5543,-11469,6251,-19577,-16916,29998,-4424,-19054,-24372,-13413,-28473,1134,8050,4614,3224,2726,62808,5008,9838,9959,9615,-7402,1685,17625,11808,6585,12627,31461,-17806,-14014,-10391,-13749,-9438,8145,15090,15164,17515,16103,59146,-726,1188,3444,3173,-432,-1985,-3481,-1508,,-2426,-2014,-1170,,-8268,-455,-803,,-5043,-43,1399,
Blank corrected based on Raw Data (400/520 1),99,-5712,-11369,5560,-20075,-16836,28885,-4212,-18949,-24081,-13689,-28279,1862,9232,5890,4091,3582,62857,6505,10346,10556,9762,-6998,1394,16188,12046,6218,12517,29492,-18493,-14485,-10897,-13831,-8914,8323,15198,15981,17101,16539,60189,-584,2625,4570,4603,1145,-1864,-3872,-1878,,-1494,-909,-63,,-8199,-974,-1219,,-3887,1313,1789,
Blank corrected based on Raw Data (400/520 1),101.25,-5481,-11987,5392,-20001,-17012,28097,-3930,-19233,-24511,-13861,-28841,1461,9777,5311,3656,2991,63557,5954,9967,9737,10335,-6810,2596,17227,12804,6632,13777,31585,-18372,-13323,-9726,-13157,-8384,8358,16503,17049,18544,16956,60354,276,3052,4938,4128,503,-1320,-3555,-572,,-1767,-1240,-290,,-7883,-237,-571,,-2322,2015,2381,
Blank corrected based on Raw Data (400/520 1),103.5,-5920,-12297,5749,-19888,-17461,27073,-3733,-18411,-24374,-13827,-28781,665,9549,5149,3741,2634,63308,5988,9708,10384,10147,-7015,2469,17564,13151,7125,13996,31487,-17443,-13227,-9209,-12402,-8045,8829,15722,16363,17812,16647,59601,489,2023,4986,4077,1221,-1136,-2847,-1095,,-1706,-1106,-682,,-8063,689,458,,-2865,972,1859,
Blank corrected based on Raw Data (400/520 1),105.75,-6106,-11747,5330,-20424,-17319,27343,-3674,-18644,-24761,-13220,-28253,1330,9342,5541,3391,3038,63156,5115,9858,10025,10604,-6961,2307,17477,12621,7056,13552,31614,-17618,-13598,-10236,-12677,-8206,8396,16187,15583,16861,16353,60369,1011,2549,4830,4243,1048,-1367,-2879,-329,,-1528,-1364,-623,,-7520,331,31,,-3193,1798,2190,
Blank corrected based on Raw Data (400/520 1),108,-5796,-12345,6147,-20046,-17693,25872,-2716,-19131,-24795,-13522,-28542,1257,9814,5703,3788,2484,63459,5404,9980,10106,10598,-6653,2131,17486,12686,6702,13958,31574,-17719,-13996,-9708,-12971,-7578,8670,16018,16216,17971,16515,60482,-126,2696,4879,4073,691,252,-2670,-774,,-1587,-1111,-624,,-7856,958,-467,,-3011,1468,2112,
